Montréal	1649519
Québec	516622
Laval	401553
Gatineau	265349
Longueuil	231409
Sherbrooke	154601
Saguenay	144746
Lévis	138769
Trois-Rivières	131338
Terrebonne	106322
Saint-Jean-sur-Richelieu	92394
Repentigny	82000
Brossard	79273
Drummondville	71852
Saint-Jérôme	68456
Granby	63433
Blainville	53510
Saint-Hyacinthe	53236
Shawinigan	50060
Dollard-des-Ormeaux	49637
Rimouski	46860
Châteauguay	45904
Saint-Eustache	44154
Victoriaville	43462
Mascouche	42491
Mirabel	41957
Rouyn-Noranda	41012
Boucherville	40753
Salaberry-de-Valleyfield	40077
Sorel-Tracy	34600
Vaudreuil-Dorion	33305
Côte Saint-Luc	32321
Val-d'Or	31862
Saint-Georges	31173
Alma	30904
Pointe-Claire	30790
Sainte-Julie	30104
Boisbriand	26816
Saint-Bruno-de-Montarville	26107
Sainte-Thérèse	26025
Thetford Mines	25709
Sept-Îles	25686
Chambly	25571
Magog	25358
Saint-Constant	24980
La Prairie	23357
Baie-Comeau	22113
Saint-Lambert	21555
Kirkland	21253
Varennes	20994
Beloeil	20783
L'Assomption	20065
Westmount	19931
Candiac	19876
Joliette	19621
Beaconsfield	19505
Mount Royal	19503
Rivière-du-Loup	19447
Saint-Lazare	19295
Dorval	18208
Mont-Saint-Hilaire	18200
Saint-Augustin-de-Desmaures	18141
Deux-Montagnes	17552
Saint-Lin-Laurentides	17463
Sainte-Catherine	16762
L'Ancienne-Lorette	16745
Saint-Basile-le-Grand	16736
Sainte-Marthe-sur-le-Lac	15689
Gaspé	15163
Sainte-Anne-des-Plaines	14535
Matane	14462
Dolbeau-Mistassini	14384
Pincourt	14305
Rosemère	14294
Mont-Laurier	13779
Lavaltrie	13267
Saint-Colomban	13080
Sainte-Marie	12889
Amos	12671
Lachute	12551
Cowansville	12489
Bécancour	12438
Prévost	12171
Sainte-Adèle	12137
Beauharnois	12011
Mercier	11584
Montmagny	11491
La Tuque[QC 1]	11227
Notre-Dame-de-l'Île-Perrot	10620
L'Île-Perrot	10503
Saint-Félicien	10278
Roberval	10227
Sainte-Agathe-des-Monts	10115
Marieville	10094
Saint-Sauveur	9881
Saint-Raymond	9615
Mont-Tremblant	9494
Bois-des-Filion	9485
Lorraine	9479
Coaticook	9255
Notre-Dame-des-Prairies	8868
La Malbaie	8862
Pont-Rouge	8723
Otterburn Park	8450
Farnham	8330
Carignan	7966
Nicolet	7828
La Sarre	7719
Chandler	7703
Acton Vale	7664
Bromont	7649
Chibougamau	7541
Louiseville	7517
Delson	7462
Baie-Saint-Paul	7332
Saint-Rémi	7265
Brownsburg-Chatham	7209
Hampstead	7153
Asbestos	7096
Sainte-Anne-des-Monts	6933
Coteau-du-Lac	6842
Plessisville	6688
Mont-Joli	6665
Port-Cartier	6651
Beauceville	6354
Amqui	6322
Sainte-Catherine-de-la-Jacques-Cartier	6319
Donnacona	6283
Contrecoeur	6252
Lac-Mégantic	5932
Charlemagne	5853
Princeville	5693
Saint-Césaire	5686
Brome Lake	5609
Richelieu	5467
Saint-Pie	5438
Windsor	5367
L'Épiphanie	5353
Cookshire-Eaton	5171
Hudson	5135
Témiscouata-sur-le-Lac	5096
Montreal West	5085
Sainte-Anne-de-Bellevue	5073
Warwick	4766
Saint-Joseph-de-Beauce	4722
Rivière-Rouge	4645
Waterloo	4330
La Pocatière	4266
Métabetchouan–Lac-à-la-Croix	4097
Berthierville	4091
Danville	4070
Carleton-sur-Mer	3991
Maniwaki	3930
Sutton	3906
Neuville	3888
Saint-Tite	3880
Baie-D'Urfé	3850
Château-Richer	3834
New Richmond	3810
East Angus	3741
Montréal-Est	3728
Saint-Pascal	3490
Dunham	3471
Grande-Rivière	3456
Trois-Pistoles	3456
Malartic	3449
Beaupré	3439
Percé	3312
Richmond	3275
Forestville	3270
Paspébiac	3198
Normandin	3137
Clermont	3118
Portneuf	3107
Dégelis	3051
Cap-Santé	2996
Senneterre	2953
Fermont	2874
Saint-Marc-des-Carrières	2862
Stanstead	2857
Sainte-Anne-de-Beaupré	2854
Saint-Gabriel	2844
Bonaventure	2775
Pohénégamook	2770
Sainte-Marguerite-du-Lac-Masson	2740
Macamic	2734
Saint-Pamphile	2685
Bedford	2684
Cap-Chat	2623
Ville-Marie	2595
Disraeli	2502
Saint-Basile	2463
Causapscal	2458
Huntingdon	2457
Thurso	2455
Témiscaming	2385
Gracefield	2355
Valcourt	2349
Léry	2307
Lebel-sur-Quévillon	2159
Waterville	2028
Kingsey Falls	2000
Saint-Ours	1721
Saint-Joseph-de-Sorel	1677
Fossambault-sur-le-Lac	1613
Chapais	1610
Matagami	1526
Desbiens	1053
Daveluyville	966
Murdochville	764
Duparquet	657
Métis-sur-Mer	644
Lac-Delage	598
Scotstown	547
Lac-Sergent	466
Belleterre	298
Lac-Saint-Joseph	251
Schefferville	213
Estérel	199
L'Île-Cadieux	105
Barkmere	58
L'Île-Dorval	5
